model_id,model,brand_id
0,Barricade,0
1,Barricade Tour,0
2,Feather,0
3,Response,0
4,Asics 109,1
5,Asics 116,1
6,Asics 125,1
7,BZ 100,1
8,M3 Control,2
9,M3 Power,2
10,M5,2
11,Aero 112,3
12,Aero Blast,3
13,Aero Storm,3
14,Aero Storm GT,3
15,Aero Storm Tour GT,3
16,Aero Tour MP,3
17,Aero Tour OS,3
18,AeroPro Control Plus,3
19,AeroPro Drive 2013,3
20,AeroPro Drive Cortex,3
21,AeroPro Drive GT,3
22,AeroPro Drive GT Plus,3
23,AeroPro Drive GT Plus / 2013,3
24,AeroPro Drive Plus,3
25,AeroPro Lite GT,3
26,AeroPro Lite/2013,3
27,AeroPro Team GT,3
28,AeroPro Team GT/2013,3
29,Drive Z 110,3
30,Drive Z 110 2009,3
31,Drive Z 118,3
32,Drive Z 118 2009,3
33,Drive Z Lite,3
34,Play Pure Drive,3
35,Pure Aero,3
36,Pure Aero (2019),3
37,Pure Aero 2023,3
38,Pure Aero 98 2023,3
39,Pure Aero Lite,3
40,Pure Aero Lite (2019),3
41,Pure Aero Lite 2023,3
42,Pure Aero Plus,3
43,Pure Aero Plus (2019),3
44,Pure Aero Plus 2023,3
45,Pure Aero Team,3
46,Pure Aero Team (2019),3
47,Pure Aero Team 2023,3
48,Pure Aero Tour,3
49,Pure Aero Tour (2019),3
50,Pure Aero VS,3
51,Pure Aero VS Stars and Stripes,3
52,Pure Aero VS Tour,3
53,Pure Control,3
54,Pure Control 95,3
55,Pure Control 95+,3
56,Pure Control Tour,3
57,Pure Control Tour+,3
58,Pure Drive (2012),3
59,Pure Drive (2021),3
60,Pure Drive 107,3
61,Pure Drive 107 (2012),3
62,Pure Drive 107 (2018),3
63,Pure Drive 107 2021,3
64,Pure Drive 107 GT 2009,3
65,Pure Drive 110,3
66,Pure Drive 110 (2018),3
67,Pure Drive 110 2021,3
68,Pure Drive 2015,3
69,Pure Drive 2017,3
70,Pure Drive GT,3
71,Pure Drive GT Plus,3
72,Pure Drive Lite,3
73,Pure Drive Lite,3
74,Pure Drive Lite (2018),3
75,Pure Drive Lite 2021,3
76,Pure Drive Lite Wimbledon,3
77,Pure Drive Plus,3
78,Pure Drive Plus,3
79,Pure Drive Plus (2018),3
80,Pure Drive Plus 2021,3
81,Pure Drive Roddick,3
82,Pure Drive Roddick (2012),3
83,Pure Drive Roddick GT,3
84,Pure Drive Roddick GT Plus,3
85,Pure Drive Roddick Plus,3
