model_id,model,brand_id,type_id
0,Black Diamond 16,0,0
1,Gut 2000 16,1,1
2,Dynamite 17,2,2
3,Dynamite Soft 17,2,2
4,Dynamite Soft 18,2,2
5,Dynamite WB 16,2,2
6,Liberty 16,2,1
7,MonoGut 16L,2,0
8,MonoGut 17,2,0
9,MonoGut ZX 16,2,2
10,Synthetic Gut 16,2,1
11,Addiction 16,3,1
12,Addiction 17,3,1
13,Attraction 16,3,2
14,Ballistic Polymono 16,3,0
15,Conquest 16,3,1
16,Duralast 16,3,0
17,Duralast 17,3,0
18,FiberTour 16,3,1
19,Hurricane Feel 16,3,0
20,Hurricane Feel 17,3,0
21,M7 16 (1.30),3,1
22,Origin 16 (1.30),3,1
23,Origin 17,3,1
24,Pro Hurricane 16,3,0
25,Pro Hurricane 17,3,0
26,Pro Hurricane 18,3,0
27,Pro Hurricane Tour 16,3,0
28,Pro Hurricane Tour 17,3,0
29,Revenge 16,3,0
30,Revenge 17,3,0
31,RPM Blast 15L (1.35),3,0
32,RPM Blast 16,3,0
33,RPM Blast 17/1.25,3,0
34,RPM Blast 18 (1.20),3,0
35,RPM Blast Orange 16 (1.30),3,0
36,RPM Blast Rough 15L,3,0
37,RPM Blast Rough 16,3,0
38,RPM Blast Rough 17,3,0
39,RPM Dual 16,3,0
40,RPM Soft 16 (1.30),3,1
41,RPM Team 16 Black,3,0
42,RPM Team 17 (1.25),3,2
43,SG SpiralTek 16,3,1
44,SpiralTek 17,3,1
45,Super Fine Play 16,3,1
46,Synthetic Gut 16 (1.30),3,1
47,Synthetic Gut 17 (1.25),3,1
48,Tonic + Natural Gut 16,3,3
49,VS Natural Team Gut 17 (1.25),3,3
50,VS Natural ThermoGut 16 Touch,3,3
51,VS Touch 15L (1.35),3,3
52,Xalt 16 (1.30),3,1
53,Xcel 16,3,1
54,Xcel French Open Black 16,3,1
55,Xcel Power 16,3,1
56,Xcel Power 17,3,1
57,Xcel Premium 17,3,1
58,Bomber 16,4,0
59,Bomber 17,4,0
60,Bomber NYC 16 (1.28),4,0
61,Bomber NYC 17 (1.23),4,0
62,Pulse 16 (1.32),4,1
63,Elite XT 16,5,0
64,Elite XT 17,5,0
65,Impulse 16 (1.32),5,1
66,Impulse 17 (1.25),5,1
67,Solstice Blace 17 (1.20),5,0
68,Solstice Power 15L (1.35),5,0
69,Solstice Power 16 (1.30),5,0
70,Solstice Power 16L (1.25),5,0
71,Solstice Power 17 (1.20),5,0
72,Solstice Pro 15L (1.35),5,0
73,Solstice Pro 16L (1.25),5,0
74,Solstice Pro 16L (1.25),5,0
75,666 (1.30),6,1
76,Diablo (1.24),6,0
77,Diablo (1.31),6,0
78,Raptor 1.27,6,0
79,Twice Dragon(1.30),6,0
80,Twice Shark (1.25),6,0
81,WTS 25 (1.25),6,0
82,Black Widow 16,7,0
83,Black Widow 17,7,0
84,Black Widow 18 (1.21),7,0
85,Comfort Poly 17,7,0
86,Comfort Synthetic 16,7,1
87,Comfort Synthetic 17,7,1
88,DNA 16 (1.30),7,1
89,DNA 17 (1.22),7,1
90,Explosive 16,7,0
91,Explosive 17 (1.26),7,0
92,Explosive 18 (1.20),7,0
93,Explosive Bite 17 (1.27),7,0
94,Explosive Poly Max 16,7,2
95,Explosive Speed 17 (1.25),7,0
96,Explosive Synthetic 16,7,1
97,Explosive Synthetic Gut 17,7,1
98,Explosive Tour 16 (1.30),7,0
99,Hexy Fiber 16,7,1
100,Hexy Fiber 17,7,1
101,Ice 16 (1.30),7,0
102,Ice 17 (1.25),7,0
103,Iconic All 17 (1.25),7,1
104,Iconic Speed 17 (1.25),7,1
105,Iconic Touch 17 (1.25),7,1
106,Juice 16 (1.31),7,0
107,Juice 17 (1.26),7,0
108,M-Fil Tour 16,7,1
109,Pearl 16 (1.30),7,1
110,Pearl 17 (1.25),7,1
111,S-Gut 16 (1.32),7,1
112,S-Gut 17,7,2
113,S-Gut 18 (1.19),7,1
114,Silk 16 (1.30),7,1
115,Silk 17,7,1
116,Synthetic Gut 16,7,1
117,Tour Performance 16,7,1
118,X-Life Synthetic 15L,7,1
119,Sweet 16,8,1
120,Asterisk 16,9,1
121,Asterisk Spin 16,9,1
122,Asterisk Tour 16,9,2
123,ESP 16,9,1
124,FXT 16 (1.30),9,1
125,FXT 17 (1.24),9,1
126,Glide Cross String 16,9,1
127,IO 17 (1.23),9,0
128,IO 18 (1.18),9,0
129,IO Soft 15L (1.40),9,0
130,IO Soft 16 (1.28),9,0
131,IO Soft 17 (1.23),9,0
132,Jet 16L (1.28),9,0
133,Live Wire 16,9,2
134,Live Wire 17 (1.27),9,1
135,Live Wire XP 16,9,2
136,Live Wire XP 17 (1.27),9,1
137,Marathon DPC 15 (1.40),9,1
138,Marathon DPC 16 (1.32),9,1
139,Monoblast 16,9,0
140,Moto 16,9,0
