racquet_brands,racquet_models
Adidas,Barricade
Adidas,Barricade Tour
Adidas,Feather
Adidas,Response
Asics,Asics 109
Asics,Asics 116
Asics,Asics 125
Asics,BZ 100
Avery,M3 Control
Avery,M3 Power
Avery,M5
Babolat,Aero 112
Babolat,Aero Blast
Babolat,Aero Storm
Babolat,Aero Storm GT
Babolat,Aero Storm Tour GT
Babolat,Aero Tour MP
Babolat,Aero Tour OS
Babolat,AeroPro Control Plus
Babolat,AeroPro Drive 2013
Babolat,AeroPro Drive Cortex
Babolat,AeroPro Drive GT
Babolat,AeroPro Drive GT Plus
Babolat,AeroPro Drive GT Plus / 2013
Babolat,AeroPro Drive Plus
Babolat,AeroPro Lite GT
Babolat,AeroPro Lite/2013
Babolat,AeroPro Team GT
Babolat,AeroPro Team GT/2013
Babolat,Drive Z 110
Babolat,Drive Z 110 2009
Babolat,Drive Z 118
Babolat,Drive Z 118 2009
Babolat,Drive Z Lite
Babolat,Play Pure Drive
Babolat,Pure Aero
Babolat,Pure Aero (2019)
Babolat,Pure Aero 2023
Babolat,Pure Aero 98 2023
Babolat,Pure Aero Lite
Babolat,Pure Aero Lite (2019)
Babolat,Pure Aero Lite 2023
Babolat,Pure Aero Plus
Babolat,Pure Aero Plus (2019)
Babolat,Pure Aero Plus 2023
Babolat,Pure Aero Team
Babolat,Pure Aero Team (2019)
Babolat,Pure Aero Team 2023
Babolat,Pure Aero Tour
Babolat,Pure Aero Tour (2019)
Babolat,Pure Aero VS
Babolat,Pure Aero VS Stars and Stripes
Babolat,Pure Aero VS Tour
Babolat,Pure Control
Babolat,Pure Control 95
Babolat,Pure Control 95+
Babolat,Pure Control Tour
Babolat,Pure Control Tour+
Babolat,Pure Drive (2012)
Babolat,Pure Drive (2021)
Babolat,Pure Drive 107
Babolat,Pure Drive 107 (2012)
Babolat,Pure Drive 107 (2018)
Babolat,Pure Drive 107 2021
Babolat,Pure Drive 107 GT 2009
Babolat,Pure Drive 110
Babolat,Pure Drive 110 (2018)
Babolat,Pure Drive 110 2021
Babolat,Pure Drive 2015
Babolat,Pure Drive 2017
Babolat,Pure Drive GT
Babolat,Pure Drive GT Plus
Babolat,Pure Drive Lite
Babolat,Pure Drive Lite
Babolat,Pure Drive Lite (2018)
Babolat,Pure Drive Lite 2021
Babolat,Pure Drive Lite Wimbledon
Babolat,Pure Drive Plus
Babolat,Pure Drive Plus
Babolat,Pure Drive Plus (2018)
Babolat,Pure Drive Plus 2021
Babolat,Pure Drive Roddick
Babolat,Pure Drive Roddick (2012)
Babolat,Pure Drive Roddick GT
Babolat,Pure Drive Roddick GT Plus
Babolat,Pure Drive Roddick Plus
Babolat,Pure Drive Roddick Plus (2012)
Babolat,Pure Drive Team
Babolat,Pure Drive Team 2021
Babolat,Pure Drive Team Plus
Babolat,Pure Drive Tour
Babolat,Pure Drive Tour (2018)
Babolat,Pure Drive Tour 2021
Babolat,Pure Drive Tour Plus
Babolat,Pure Drive Tour Plus (2018)
Babolat,Pure Drive VS
Babolat,Pure Drive Wimbledon
Babolat,Pure Stike 98 18x20 2024
Babolat,Pure Storm
Babolat,Pure Storm GT 2009
Babolat,Pure Storm GT 2011
Babolat,Pure Storm Ltd GT (NEW)
Babolat,Pure Storm Ltd. GT 2009
Babolat,Pure Storm Team GT
Babolat,Pure Storm Tour
Babolat,Pure Storm Tour GT
Babolat,Pure Storm Tour GT 2009
Babolat,Pure Storm Tour Plus
Babolat,Pure Storm Tour Plus GT
Babolat,Pure Storm Tour+ GT 2009
Babolat,Pure Strike (18x20)
Babolat,Pure Strike 100
Babolat,Pure Strike 100 (2016)
Babolat,Pure Strike 100 16x20 2024
Babolat,Pure Strike 100 2024
Babolat,Pure Strike 100 3rd Gen
Babolat,Pure Strike 100 Team
Babolat,Pure Strike 103
Babolat,Pure Strike 16x19
Babolat,Pure Strike 16x19 (2016)
Babolat,Pure Strike 16x19 3rd Gen
Babolat,Pure Strike 18x20
Babolat,Pure Strike 18x20 3rd Gen
Babolat,Pure Strike 97
Babolat,Pure Strike 98 16x19 2024
Babolat,Pure Strike Team 2024
Babolat,Pure Strike Tour
Babolat,Pure Strike Tour 3rd Gen
Babolat,Pure Strike VS
Babolat,Pure Strike VS
Babolat,Pure Strike VS Tour
Babolat,VS NCT Control
Babolat,XS 102
Babolat,XS 102
Babolat,XS 105
Babolat,XS 109
Babolat,Y 105 Smart Grip
Babolat,Y 109 Smart Grip
Babolat,Y 112
Babolat,Y 112 LTD
Babolat,Y 118
Babolat,NS Drive OS
Boris,Becker Becker 11 (heavy)
Boris,Becker Becker 11 Special Edition 98
Boris,Becker Boris Becker 11 Light
Boris,Becker Delta Core 1
Boris,Becker Delta Core 3
Boris,Becker Delta Core Legend
Boris,Becker Delta Core London
Boris,Becker Delta Core London Tour
Boris,Becker Delta Core Melbourne
Boris,Becker Delta Core Pro
Donnay,Formula 100
Donnay,Formula Lite 100
Donnay,Formula OS Ext
Donnay,Pro One
Donnay,Pro One 97 18x20
Donnay,Pro One OS
Donnay,Pro One OS Ext
Donnay,X-Black 94
Donnay,X-Black 99
Donnay,X-Blue 94
Donnay,X-Blue 99
Donnay,X-Dark Red 94
Donnay,X-Dual Core Platinum 94
Donnay,X-Dual Core Silver 99
Donnay,X-Dual Gold 94
Donnay,X-Dual Silver Lite 99
Donnay,X-Orange 99
Donnay,X-P Dual Lite White 102
Donnay,X-Red 94
Donnay,X-Red 99
Donnay,X-White 99
Donnay,X-Yellow 99
Dunlop,Aerogel 100
Dunlop,Aerogel 1000
Dunlop,Aerogel 2Hundred
Dunlop,Aerogel 3Hundred
Dunlop,Aerogel 4D 100 (1Hundred)
Dunlop,Aerogel 4D 200 (2Hundred)
Dunlop,Aerogel 4D 200 Tour (2Hundred)
Dunlop,Aerogel 4D 300 (3Hundred)
Dunlop,Aerogel 4D 300 (3Hundred) Tour
Dunlop,Aerogel 4D 5 Fifty Lite
Dunlop,Aerogel 4D 500 (5Hundred)
Dunlop,Aerogel 4D 500 (5Hundred) Tour
Dunlop,Aerogel 4D 700 (7Hundred)
Dunlop,Aerogel 4D Super-Lite
Dunlop,Aerogel 5Hundred
Dunlop,Aerogel 5Hundred Tour
Dunlop,Aerogel 600 MP
Dunlop,Aerogel 7Hundred
Dunlop,Aerogel 9Hundred OS
Dunlop,Aerogel Rush
Dunlop,Aerogel Smoke
Dunlop,Aerogel Titan
Dunlop,BioFibre F3.1 Tour
Dunlop,BioFibre M2.1
Dunlop,BioFibre M3.1
Dunlop,BioFibre S8.1 Lite
Dunlop,Biomimetic 100
Dunlop,Biomimetic 200
Dunlop,Biomimetic 200 Lite
Dunlop,Biomimetic 200 Plus
Dunlop,Biomimetic 200 Tour
Dunlop,Biomimetic 300
Dunlop,Biomimetic 300 Tour
Dunlop,Biomimetic 400
Dunlop,Biomimetic 400 Lite
Dunlop,Biomimetic 400 Tour
Dunlop,Biomimetic 500
Dunlop,Biomimetic 500 Plus
Dunlop,Biomimetic 500 Tour
Dunlop,Biomimetic 600
Dunlop,Biomimetic 600 Lite
Dunlop,Biomimetic 600 Tour
Dunlop,Biomimetic Black Widow
Dunlop,Biomimetic F 3.0 Tour
Dunlop,Biomimetic F2.0 Tour
Dunlop,Biomimetic F5.0 Tour
Dunlop,Biomimetic M 3.0
Dunlop,Biomimetic M 6.0
Dunlop,Biomimetic M5.0
Dunlop,Biomimetic Max 200G
Dunlop,Biomimetic S 2.0
Dunlop,Biomimetic S 3.0 Lite
Dunlop,Biomimetic S 6.0
Dunlop,Biomimetic S 6.0 Lite
Dunlop,Biomimetic S 7.0
Dunlop,Biomimetic S 8.0 Lite
Dunlop,Biomimetic S5.0 Lite
Dunlop,CX 200
Dunlop,CX 200
Dunlop,CX 200 OS
Dunlop,CX 200 OS
Dunlop,CX 200 Tour 16x19
Dunlop,CX 200 Tour 18x20
Dunlop,CX 400
Dunlop,CX 400
Dunlop,CX 400 Tour
Dunlop,CX 400 Tour
Dunlop,F4.0 Tour
Dunlop,FX 500
Dunlop,FX 500 2023
Dunlop,FX 500 LS
Dunlop,FX 500 LS 2023
Dunlop,FX 500 Lite
Dunlop,FX 500 Lite 2023
Dunlop,FX 500 Tour
Dunlop,FX 500 Tour 2023
Dunlop,FX 700
Dunlop,FX 700 2023
Dunlop,Force 100
Dunlop,Force 100 Tour
Dunlop,Force 105
Dunlop,Force 98
Dunlop,Force 98 Tour
Dunlop,M-Fil 200
Dunlop,M-Fil 300
Dunlop,M-Fil 400
Dunlop,M-Fil 800
Dunlop,M4.0
Dunlop,Precision 100
Dunlop,Precision 100 Tour
Dunlop,Precision 98
Dunlop,Precision 98 Tour
Dunlop,S4.0 Lite
Dunlop,SX 300
Dunlop,SX 300 Tour
Dunlop,SX300
Dunlop,SX300 Tour
Dunlop,Srixon CX 200
Dunlop,Srixon CX 200 LS
Dunlop,Srixon CX 200 Tour (16x19)
Dunlop,Srixon CX 200 Tour (18x20)
Dunlop,Srixon CX 200+
Dunlop,Srixon CX 400
Dunlop,Srixon Revo CV 3.0
Dunlop,Srixon Revo CV 3.0 F
Dunlop,Srixon Revo CV 3.0 F LS
Dunlop,Srixon Revo CV 3.0 F Tour
Dunlop,Srixon Revo CV 5.0
Dunlop,Srixon Revo CV 5.0 OS
Dunlop,Srixon Revo CX 2.0
Dunlop,Srixon Revo CX 2.0 LS
Dunlop,Srixon Revo CX 4.0
Dunlop,Srixon Revo CX Tour 18x20
Dunlop,Srixon Revo CZ 100S
Dunlop,Srixon Revo CZ 98D
Dunlop,iDapt Force 100
Dunlop,iDapt Force 100S
Dunlop,iDapt Force 105
Dunlop,iDapt Force 98
Fischer,M Comp 95
Fischer,M Pro Number One 98 Light
Fischer,M Pro Number One 98 SL
Fischer,Magnetic Tour ++ (heavy)
Fischer,Progressor NT
Gamma,Big Bubba
Gamma,C-1
Gamma,C-2
Gamma,C-3
Gamma,C-4
Gamma,CP-1000
Gamma,CP-1200
Gamma,G250
Gamma,G260
Gamma,G310
Gamma,Ipex 2.0 OS
Gamma,RZR 100
Gamma,RZR 100T
Gamma,RZR 105
Gamma,RZR 110
Gamma,RZR 95
Gamma,RZR 98
Gamma,RZR 98 T
