string_brand,string_model,string_type
Alien,Black Diamond 16,Polyester
Alpha,Gut 2000 16,Nylon
Ashaway,Dynamite 17,Nylon Plus Others
Ashaway,Dynamite Soft 17,Nylon Plus Others
Ashaway,Dynamite Soft 18,Nylon Plus Others
Ashaway,Dynamite WB 16,Nylon Plus Others
Ashaway,Liberty 16,Nylon
Ashaway,MonoGut 16L,Polyester
Ashaway,MonoGut 17,Polyester
Ashaway,MonoGut ZX 16,Nylon Plus Others
Ashaway,Synthetic Gut 16,Nylon
Babolat,Addiction 16,Nylon
Babolat,Addiction 17,Nylon
Babolat,Attraction 16,Nylon Plus Others
Babolat,Ballistic Polymono 16,Polyester
Babolat,Conquest 16,Nylon
Babolat,Duralast 16,Polyester
Babolat,Duralast 17,Polyester
Babolat,FiberTour 16,Nylon
Babolat,Hurricane Feel 16,Polyester
Babolat,Hurricane Feel 17,Polyester
Babolat,M7 16 (1.30),Nylon
Babolat,Origin 16 (1.30),Nylon
Babolat,Origin 17,Nylon
Babolat,Pro Hurricane 16,Polyester
Babolat,Pro Hurricane 17,Polyester
Babolat,Pro Hurricane 18,Polyester
Babolat,Pro Hurricane Tour 16,Polyester
Babolat,Pro Hurricane Tour 17,Polyester
Babolat,Revenge 16,Polyester
Babolat,Revenge 17,Polyester
Babolat,RPM Blast 15L (1.35),Polyester
Babolat,RPM Blast 16,Polyester
Babolat,RPM Blast 17/1.25,Polyester
Babolat,RPM Blast 18 (1.20),Polyester
Babolat,RPM Blast Orange 16 (1.30),Polyester
Babolat,RPM Blast Rough 15L,Polyester
Babolat,RPM Blast Rough 16,Polyester
Babolat,RPM Blast Rough 17,Polyester
Babolat,RPM Dual 16,Polyester
Babolat,RPM Soft 16 (1.30),Nylon
Babolat,RPM Team 16 Black,Polyester
Babolat,RPM Team 17 (1.25),Nylon Plus Others
Babolat,SG SpiralTek 16,Nylon
Babolat,SpiralTek 17,Nylon
Babolat,Super Fine Play 16,Nylon
Babolat,Synthetic Gut 16 (1.30),Nylon
Babolat,Synthetic Gut 17 (1.25),Nylon
Babolat,Tonic + Natural Gut 16,Gut
Babolat,VS Natural Team Gut 17 (1.25),Gut
Babolat,VS Natural ThermoGut 16 Touch,Gut
Babolat,VS Touch 15L (1.35),Gut
Babolat,Xalt 16 (1.30),Nylon
Babolat,Xcel 16,Nylon
Babolat,Xcel French Open Black 16,Nylon
Babolat,Xcel Power 16,Nylon
Babolat,Xcel Power 17,Nylon
Babolat,Xcel Premium 17,Nylon
Boris Becker,Bomber 16,Polyester
Boris Becker,Bomber 17,Polyester
Boris Becker,Bomber NYC 16 (1.28),Polyester
Boris Becker,Bomber NYC 17 (1.23),Polyester
Boris Becker,Pulse 16 (1.32),Nylon
Diadem,Elite XT 16,Polyester
Diadem,Elite XT 17,Polyester
Diadem,Impulse 16 (1.32),Nylon
Diadem,Impulse 17 (1.25),Nylon
Diadem,Solstice Blace 17 (1.20),Polyester
Diadem,Solstice Power 15L (1.35),Polyester
Diadem,Solstice Power 16 (1.30),Polyester
Diadem,Solstice Power 16L (1.25),Polyester
Diadem,Solstice Power 17 (1.20),Polyester
Diadem,Solstice Pro 15L (1.35),Polyester
Diadem,Solstice Pro 16L (1.25),Polyester
